"","BirdID","birthyear","occasionyear","age_year","newlifespan","FPID","newstat","prate","Observer","SexEstimate","new_bug","BroodSize","nr_helpers","WatchType"
"135",199,1986,1986,0,5783,6,"Sub",NA,NA,NA,NA,NA,NA,NA
"136",199,1986,1987,1,5783,7,"Sub",NA,NA,NA,5.08906934631664,NA,NA,NA
"137",199,1986,1988,2,5783,8,"Sub",NA,NA,NA,NA,NA,NA,NA
"138",199,1986,1989,3,5783,10,"Dom",NA,NA,NA,NA,NA,NA,NA
"139",199,1986,1990,4,5783,12,"Dom",NA,NA,NA,2.65244281811658,NA,NA,NA
"140",199,1986,1991,5,5783,14,"Dom",NA,NA,NA,NA,NA,NA,NA
"141",199,1986,1992,6,5783,NA,"Sub",NA,NA,NA,NA,NA,NA,NA
"142",199,1986,1993,7,5783,16,"Sub",NA,NA,NA,NA,NA,NA,NA
"143",199,1986,1994,8,5783,17,"Dom",NA,NA,NA,NA,NA,NA,NA
"144",199,1986,1995,9,5783,19,"Dom",NA,NA,NA,NA,NA,NA,NA
"145",199,1986,1996,10,5783,21,"Dom",0.216666666666667,NA,NA,5.50450219233333,1,1,"F"
"146",199,1986,1996,10,5783,21,"Dom",0.116666666666667,NA,NA,5.50450219233333,1,1,"F"
"147",199,1986,1997,11,5783,22,"Dom",0.144444444444444,NA,NA,6.34906043033333,1,1,"FI"
"148",199,1986,1998,12,5783,25,"Dom",0.1,NA,NA,3.40909704426667,1,2,"F"
"149",199,1986,1999,13,5783,28,"Dom",NA,NA,NA,5.15521640609487,NA,NA,NA
"150",199,1986,2000,14,5783,39,"Dom",NA,NA,NA,NA,NA,NA,NA
"151",199,1986,2001,15,5783,40,"Dom",NA,NA,NA,NA,NA,NA,NA
"152",199,1986,2002,16,5783,41,"Dom",NA,NA,NA,NA,NA,NA,NA
"153",199,1986,2003,17,5783,30,"Dom",0.0555555555555556,NA,NA,3.65308711307692,1,2,"F"
"154",200,1988,1988,0,4033,8,"Sub",NA,NA,"1",NA,NA,NA,NA
"155",200,1988,1989,1,4033,10,"Sub",NA,NA,"1",NA,NA,NA,NA
"156",200,1988,1990,2,4033,12,"Sub",NA,NA,"1",2.65244281811658,NA,NA,NA
"157",200,1988,1991,3,4033,14,"Dom",NA,NA,"1",NA,NA,NA,NA
"158",200,1988,1992,4,4033,NA,"Sub",NA,NA,"1",NA,NA,NA,NA
"159",200,1988,1993,5,4033,16,"Dom",NA,NA,"1",NA,NA,NA,NA
"160",200,1988,1994,6,4033,17,"Dom",NA,NA,"1",NA,NA,NA,NA
"161",200,1988,1995,7,4033,19,"Dom",0.186666666666667,NA,"1",NA,1,0,"FI"
"162",200,1988,1996,8,4033,21,"Dom",NA,NA,"1",5.504502192368,NA,NA,NA
"163",200,1988,1997,9,4033,22,"Dom",NA,NA,"1",6.34906043057842,NA,NA,NA
"164",200,1988,1998,10,4033,25,"Dom",0.15,NA,"1",3.40909704426667,1,0,"FI"
"165",200,1988,1998,10,4033,25,"Dom",0.1,NA,"1",3.40909704426667,1,0,"FI"
"166",200,1988,1998,10,4033,25,"Dom",0.216666666666667,NA,"1",3.40909704426667,1,0,"FI"
"167",200,1988,1999,11,4033,28,"Dom",0.15,NA,"1",5.15521640586667,1,0,"FI"
